,0,cleanText
2020-12-08 15:33:04,$JPM J P Morgan Chase &amp; Co SEC Filing: Form 424B2 https://t.co/mUFv00n1ry,"['jpm', 'morgan', 'chase', 'amp', 'sec', 'filing', 'form']"
2020-12-08 15:28:46,"RT @thevrara: We are thrilled to welcome J.P. Morgan @jpmorgan as our newest Member!! 

#VRARA #JPMorgan #financial https://t.co/uBhLvARXW6","['thrilled', 'welcome', 'morgan', 'newest', 'member', 'vrara', 'jpmorgan', 'financial']"
2020-12-08 15:10:57,"Morgan Stanley (MS) surprised the market with Q4 result.  J.P. Morgan Chase changed the rating to Sell, as Morgan S… https://t.co/fS3IyxuWGq","['morgan', 'stanley', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'sell', 'morgan']"
2020-12-08 15:06:38,"Proud of this latest issue of @SFT including a sit-down with @tradewindmkts CEO Michael Albanese, former J.P. Morga… https://t.co/SiOfgnSuWe","['proud', 'latest', 'issue', 'including', 'sit', 'ceo', 'michael', 'albanese', 'former', 'morga']"
2020-12-08 14:56:42,"Mintz advised 55ip, a #fintech company with proprietary capabilities empowering #financialadvisors to deliver tax-s… https://t.co/JSftoJYexr","['mintz', 'advised', 'fintech', 'company', 'proprietary', 'capability', 'empowering', 'financialadvisors', 'deliver', 'tax']"
2020-12-08 14:40:57,"Microsoft Corp. (MSFT) surprised the market with Q4 result.  J.P. Morgan Chase changed the rating to Buy, as Micros… https://t.co/ohO68ICmgw","['microsoft', 'corp', 'msft', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'buy', 'micros']"
2020-12-08 14:33:20,Antero wins double upgrade at J.P. Morgan on positive NGL view https://t.co/CxPPq72HdE,"['antero', 'win', 'double', 'upgrade', 'morgan', 'positive', 'ngl', 'view']"
2020-12-08 14:26:14,$AR $AR $QEP - Antero wins double upgrade at J.P. Morgan on positive NGL view https://t.co/7Pn8JJfpE4,"['qep', 'antero', 'win', 'double', 'upgrade', 'morgan', 'positive', 'ngl', 'view']"
2020-12-08 14:00:30,The joint winner of Investment Woman of the Year (Large Firms) at the 2020 Women in Investment Awards in partnershi… https://t.co/RiOmqXdyND,"['joint', 'winner', 'investment', 'woman', 'year', 'large', 'firm', 'woman', 'investment', 'award', 'partnershi']"
2020-12-08 13:43:21,"Meet the Black woman who pretended to be White and ended up managing J.P. Morgan in the 1900’s

#BellaDaCostaGreene 🎓","['meet', 'black', 'woman', 'pretended', 'white', 'ended', 'managing', 'morgan', 'sbelladacostagreene']"
2020-12-08 13:40:42,"Raytheon Co. (RTN) surprised the market with Q1 result.  J.P. Morgan Chase changed the rating to Hold, as Raytheon… https://t.co/TE5mePIeCG","['raytheon', 'rtn', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'hold', 'raytheon']"
2020-12-08 13:28:14,The winner of the Fund Manager of the Year (Large Firms) at the 2020 Women in Investment Awards in partnership with… https://t.co/C2M5gSyAJ4,"['winner', 'fund', 'manager', 'year', 'large', 'firm', 'woman', 'investment', 'award', 'partnership']"
2020-12-08 13:25:44,"RT @jpmorgan: J.P. Morgan Private Bank explores how Europe’s property markets are responding to the coronavirus pandemic, and what’s likely…","['morgan', 'private', 'bank', 'explores', 'europe', 'property', 'market', 'responding', 'coronavirus', 'pandemic', 'likely']"
2020-12-08 13:24:38,How do you top @united saying your last post was their favorite?  You don’t. You just enjoy being in the clouds.… https://t.co/gpQ8fV2YNt,"['top', 'saying', 'last', 'post', 'favorite', 'enjoy', 'cloud']"
2020-12-08 13:03:28,"RT @Lord_of_Saarl: My Facebook Profile Pic when I am 30+.

Mr Lustwig. C. J Lewis.
Working at J. P Morgan 
Happily Married with two boys an…","['facebook', 'profile', 'pic', 'lustwig', 'lewisworking', 'morgan', 'happily', 'married', 'two', 'boy']"
2020-12-08 13:01:58,"Apple Inc. (AAPL) surprised the market with Q2 result.  J.P. Morgan Chase changed the rating to Sell, as Apple Inc.… https://t.co/Bsgq9Xjndd","['apple', 'inc', 'aapl', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'sell', 'apple', 'inc']"
2020-12-08 12:49:41,"@bangordailynews so tesla wanted to build generating stations on every city block and edison wanted the grid

j p m… https://t.co/fskBIP22jG","['tesla', 'wanted', 'build', 'generating', 'station', 'every', 'city', 'block', 'edison', 'wanted', 'gridj']"
2020-12-08 12:20:47,JinkoSolar Holding Company Limi (JKS) surprised the market with Q2 result.  J.P. Morgan Chase changed the rating to… https://t.co/97Zu4RAqOS,"['jinkosolar', 'holding', 'company', 'limi', 'jks', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating']"
2020-12-08 11:16:33,AMUNDI INDEX J.P. MORGAN GBI GLOBAL GOVIES UCITS ETF DR - EUR: Net Asset Value(s) https://t.co/j8fuc65fmH,"['amundi', 'index', 'morgan', 'gbi', 'global', 'govies', 'ucits', 'etf', 'eur', 'net', 'asset', 'value']"
2020-12-08 10:39:12,"Apple consumers still favoring the higher-priced new iPhone models, says J.P. Morgan https://t.co/yBqH6TMUmJ","['apple', 'consumer', 'still', 'favoring', 'higher', 'priced', 'new', 'iphone', 'model', 'say', 'morgan']"
2020-12-08 09:30:04,"DraftKings stock falls after J.P. Morgan analyst gives a not-bullish endorsement
 https://t.co/aCs4kOfIWJ","['draftkings', 'stock', 'fall', 'morgan', 'analyst', 'give', 'bullish', 'endorsement']"
2020-12-08 09:15:28,"RT @mark_woollacott: One of my America's Cup artworks... Available as a #print from Fine Art America:
https://t.co/slCw1EAYZM
.
#americacup…","['one', 'america', 'cup', 'artwork', 'available', 'print', 'fine', 'art', 'america']"
2020-12-08 08:58:07,"One of my America's Cup artworks... Available as a #print from Fine Art America:
https://t.co/slCw1EAYZM
.… https://t.co/V8hFS0XTT4","['one', 'america', 'cup', 'artwork', 'available', 'print', 'fine', 'art', 'america']"
2020-12-08 08:28:35,Most are focused on America being called racist than the stagnation they feed as others do under the guise of conce… https://t.co/iCooPHqhMf,"['focused', 'america', 'called', 'racist', 'stagnation', 'feed', 'others', 'guise', 'conce']"
2020-12-08 07:59:32,@AshyoThe Indeed they've been keeping the free energy secret for some time. Even Tesla's (or Tartarian) wireless el… https://t.co/AP4COfal2Y,"['indeed', 'keeping', 'free', 'energy', 'secret', 'time', 'even', 'tesla', 'tartarian', 'wireless']"
2020-12-08 07:41:57,"Paper Co. (IP) surprised the market with Q3 result.  J.P. Morgan Chase changed the rating to Hold, as Paper Co. (IP… https://t.co/Gaj5dbaZRZ","['paper', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'hold', 'paper']"
2020-12-08 07:12:31,#NowPlaying Kergyma Community Choir - The Promise (feat. Pastor J. P. Morgan) :: Tune In: https://t.co/srt7CxXKlf,"['nowplaying', 'kergyma', 'community', 'choir', 'promise', 'feat', 'pastor', 'morgan', 'tune']"
2020-12-08 06:40:39,JinkoSolar Holding Company Limi (JKS) surprised the market with Q3 result.  J.P. Morgan Chase changed the rating to… https://t.co/pD0dqrkxkD,"['jinkosolar', 'holding', 'company', 'limi', 'jks', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating']"
2020-12-08 06:34:10,Supreme x J.P. Morgan Chase &amp; Co. picture frame dropping soon. $100.,"['supreme', 'morgan', 'chase', 'amp', 'picture', 'frame', 'dropping', 'soon']"
2020-12-08 06:14:48,"During the Civil War, J.P. Morgan made a huge profit by buying defective rifles that maimed the user's hand and sel… https://t.co/cuWW2DvJ1X","['civil', 'war', 'morgan', 'made', 'huge', 'profit', 'buying', 'defective', 'rifle', 'maimed', 'user', 'hand', 'sel']"
2020-12-08 05:57:08,"""The first step towards getting somewhere is to decide that you are not going to stay where you are.""
– J.P. Morgan… https://t.co/mMFE8op3IU","['first', 'step', 'towards', 'getting', 'somewhere', 'decide', 'going', 'stay', 'morgan']"
2020-12-08 05:53:39,"RT @GordonTredgold: Go as far as you can see; when you get there, you'll be able to see farther. -  J. P. Morgan","['far', 'see', 'get', 'able', 'see', 'farther', 'morgan']"
2020-12-08 05:53:17,"Go as far as you can see; when you get there, you'll be able to see farther. -  J. P. Morgan","['far', 'see', 'get', 'able', 'see', 'farther', 'morgan']"
2020-12-08 05:45:16,"Go as far as you can see; when you get there, you'll be able to see farther. - J. P. Morgan #quote","['far', 'see', 'get', 'able', 'see', 'farther', 'morgan', 'quote']"
2020-12-08 04:26:47,"Tea gown by the House of Worth, c, 1905.  Worn by Jane Norton Grew, the wife of banker J.P. Morgan Jr.
At the Metro… https://t.co/PEGG8QeuLY","['tea', 'gown', 'house', 'worth', 'worn', 'jane', 'norton', 'grew', 'wife', 'banker', 'morgan', 'jrat', 'metro']"
2020-12-08 04:21:58,"Paper Co. (IP) surprised the market with Q3 result.  J.P. Morgan Chase changed the rating to Outperform, as Paper C… https://t.co/OfPQHfzP73","['paper', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'outperform', 'paper']"
2020-12-08 03:26:13,"RT @InspiredUs: Go as far as you can see; when you get there, you'll be able to see farther. - J. P. Morgan #quote","['far', 'see', 'get', 'able', 'see', 'farther', 'morgan', 'quote']"
2020-12-08 02:58:03,"RT @StrikeDebt: J.P. Morgan Chase is telling @JoeBiden not to cancel student debt.

If Biden comes up with some wishy-washy partial cancell…","['morgan', 'chase', 'telling', 'cancel', 'student', 'debtif', 'biden', 'come', 'wishy', 'washy', 'partial', 'cancell']"
2020-12-08 02:01:35,"Apple consumers still favoring the higher-priced new iPhone models, says J.P. Morgan - MarketWatch $AAPL $JPM https://t.co/zTPSAJQHNJ","['apple', 'consumer', 'still', 'favoring', 'higher', 'priced', 'new', 'iphone', 'model', 'say', 'morgan', 'marketwatch', 'aapl', 'jpm']"
2020-12-08 01:55:56,"Stephen Parker, head of advisory solutions for J.P. Morgan Private Bank, discusses the intersection of markets and… https://t.co/M3246OvUj1","['stephen', 'parker', 'head', 'advisory', 'solution', 'morgan', 'private', 'bank', 'discus', 'intersection', 'market']"
2020-12-08 01:21:09,"Intuitive Surgical, Inc. (ISRG) surprised the market with Q1 result.  J.P. Morgan Chase changed the rating to Hold,… https://t.co/2dz17jEyou","['intuitive', 'surgical', 'inc', 'isrg', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'hold']"
2020-12-08 01:17:50,"RT @InvestmentWeek: Ahead of today's Sustainable &amp; ESG Investment Awards at 1pm, we speak to one of our finalists - Gloria Kim of @jpmorgan…","['ahead', 'today', 'sustainable', 'amp', 'esg', 'investment', 'award', 'speak', 'one', 'finalist', 'gloria', 'kim']"
2020-12-08 01:15:48,RT @1DavidClarke: #AI J.P. Morgan's Comprehensive Guide on Machine Learning https://t.co/MBHVOncums,"['morgan', 'comprehensive', 'guide', 'machine', 'learning']"
2020-12-08 01:00:53,"CVS Health Corp. (CVS) surprised the market with Q1 result.  J.P. Morgan Chase changed the rating to Hold, as CVS H… https://t.co/idEGuNnqLD","['cv', 'health', 'corp', 'cv', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'hold', 'cv']"
2020-12-07 23:56:33,I believe #MoscowMitch works for J. P. Morgan Chase. https://t.co/eN7ixhKd86,"['believe', 'moscowmitch', 'work', 'morgan', 'chase']"
2020-12-07 23:43:26,"@jasminexETH @directornola Lol, had nothing to do J.P Morgan having a lot of capital tied up in paper production so… https://t.co/m9bS3KdnVO","['lol', 'nothing', 'morgan', 'lot', 'capital', 'tied', 'paper', 'production']"
2020-12-07 23:27:07,Someone is tryna hack my J.P. Morgan account but thank god for triple security for me.  Whew.,"['someone', 'tryna', 'hack', 'morgan', 'account', 'thank', 'god', 'triple', 'security', 'whew']"
2020-12-07 23:06:46,J.P. Morgan Names Asia Co-Head of Equity Capital Markets https://t.co/bQNmEvE1pt,"['morgan', 'name', 'asia', 'head', 'equity', 'capital', 'market']"
2020-12-07 22:19:45,Economists to Bernie Sanders: Don't kill the relief bill over stimulus checks https://t.co/ytgsWwpUFK It is very fu… https://t.co/Hw6sqjIG7c,"['economist', 'bernie', 'sander', 'kill', 'relief', 'bill', 'stimulus', 'check']"
2020-12-07 22:11:44,"@mgoldenmsp McBrides in Barrow to move production to France and Luxembourg
Ineos to build new 4×4 in France
J P Mor… https://t.co/wzxAdbJsSA","['mcbrides', 'barrow', 'move', 'production', 'france', 'luxembourgineos', 'build', 'new', 'francej', 'mor']"
2020-12-07 22:10:31,"If #investors thought 2020 couldn’t get any more bizarre, now we're seeing signs of a growth vs. value rotation. Th… https://t.co/v0CL2CuKNq","['investor', 'thought', 'get', 'bizarre', 'seeing', 'sign', 'growth', 'value', 'rotation']"
2020-12-07 22:10:07,"@MKBHD Apple's approach to these radical changes fits well with the famous quote from J. P. Morgan:

""A man always… https://t.co/x7wK6Buait","['apple', 'approach', 'radical', 'change', 'fit', 'well', 'famous', 'quote', 'morgan', 'man', 'always']"
2020-12-07 21:26:48,@MelissaJPeltier (My gm was a broker for J.P. Morgan when she retired at 80. They were sad to see her go!),"['broker', 'morgan', 'retired', 'sad', 'see']"
2020-12-07 21:15:02,Throw back. That time I flew the @united Island Hopper. I feel like we all need this right now. #mikeshot… https://t.co/nY56w0puCI,"['throw', 'back', 'time', 'flew', 'island', 'hopper', 'feel', 'like', 'need', 'right', 'mikeshot']"
2020-12-07 21:03:10,RT @SteveBrubaker: DraftKings Lower After J.P. Morgan Initiates Neutral on Valuation | TheStreet https://t.co/ZmmqlSaOp8,"['draftkings', 'lower', 'morgan', 'initiate', 'neutral', 'valuation', 'thestreet']"
2020-12-07 21:00:47,"Intuitive Surgical, Inc. (ISRG) surprised the market with Q2 result.  J.P. Morgan Chase changed the rating to Hold,… https://t.co/FDMAkaKlRT","['intuitive', 'surgical', 'inc', 'isrg', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'hold']"
2020-12-07 20:44:55,Shares of @DraftKings fell Monday after J.P. Morgan analyst Daniel Politzer began coverage of the company with a ne… https://t.co/tNbwmnKOD2,"['share', 'fell', 'monday', 'morgan', 'analyst', 'daniel', 'politzer', 'began', 'coverage', 'company']"
2020-12-07 20:42:27,DraftKings Lower After J.P. Morgan Initiates Neutral on Valuation | TheStreet https://t.co/ZmmqlSaOp8,"['draftkings', 'lower', 'morgan', 'initiate', 'neutral', 'valuation', 'thestreet']"
2020-12-07 20:40:47,"Paper Co. (IP) surprised the market with Q2 result.  J.P. Morgan Chase changed the rating to Underperform, as Paper… https://t.co/fcvSZyLTuk","['paper', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'underperform', 'paper']"
2020-12-07 20:23:41,"RT @MattSoukup2: @RareGemHunt @tgh0321 @DailyCaller J P Morgan Chase is the New American Currency 
Silver back called Amero // opposite Eur…","['morgan', 'chase', 'new', 'american', 'currency', 'silver', 'back', 'called', 'amero', 'opposite', 'eur']"
2020-12-07 19:33:11,$JPM J P Morgan Chase &amp; Co SEC Filing: Form 424B2 https://t.co/LyYJ9TxVN4,"['jpm', 'morgan', 'chase', 'amp', 'sec', 'filing', 'form']"
2020-12-07 19:30:51,"CVS Health Corp. (CVS) surprised the market with Q3 result.  J.P. Morgan Chase changed the rating to Outperform, as… https://t.co/6pA2vCBhFE","['cv', 'health', 'corp', 'cv', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'outperform']"
2020-12-07 19:30:18,DraftKings ( $DKNG ) shares fell after a J.P. Morgan analyst began coverage of the sports gambling company with a n… https://t.co/3Y8AxGWK2e,"['draftkings', 'dkng', 'share', 'fell', 'morgan', 'analyst', 'began', 'coverage', 'sport', 'gambling', 'company']"
2020-12-07 19:20:49,"General Motors Co. (GM) surprised the market with Q1 result.  J.P. Morgan Chase changed the rating to Outperform, a… https://t.co/ahUPw2LTzX","['general', 'motor', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'outperform']"
2020-12-07 19:10:20,"Apple consumers still favoring the higher-priced new iPhone models, says J.P. Morgan - MarketWatch https://t.co/H66Kc6PMeK","['apple', 'consumer', 'still', 'favoring', 'higher', 'priced', 'new', 'iphone', 'model', 'say', 'morgan', 'marketwatch']"
2020-12-07 19:02:08,"Belle da Costa Greene Managed J.P. Morgan’s Fortune For 43 Years, Passing as a White Woman https://t.co/p43azUQrta","['belle', 'costa', 'greene', 'managed', 'morgan', 'fortune', 'year', 'passing', 'white', 'woman']"
2020-12-07 19:01:48,"Intuitive Surgical, Inc. (ISRG) surprised the market with Q2 result.  J.P. Morgan Chase changed the rating to Sell,… https://t.co/9jQxAvPzOf","['intuitive', 'surgical', 'inc', 'isrg', 'surprised', 'market', 'result', 'morgan', 'chase', 'changed', 'rating', 'sell']"
2020-12-07 19:00:04,Many fixed income sectors have seen record issuance in 2020. Read more in this post from J.P. Morgan Asset Manageme… https://t.co/Uuxkw5yNdO,"['many', 'fixed', 'income', 'sector', 'seen', 'record', 'issuance', 'read', 'post', 'morgan', 'asset', 'manageme']"
2020-12-07 18:40:03,"Apple consumers still favoring the higher-priced new iPhone models, says J.P. Morgan
 https://t.co/gIgNT97WOr","['apple', 'consumer', 'still', 'favoring', 'higher', 'priced', 'new', 'iphone', 'model', 'say', 'morgan']"
2020-12-07 18:34:00,RT @barronsonline: Stephen Parker of J.P. Morgan Private Bank discusses market catalysts to watch. Barron’s Carleton English on this week’s…,"['stephen', 'parker', 'morgan', 'private', 'bank', 'discus', 'market', 'catalyst', 'watch', 'barron', 'carleton', 'english', 'week']"
2020-12-07 18:19:22,"J.P. Morgan Chase is telling @JoeBiden not to cancel student debt.

If Biden comes up with some wishy-washy partial… https://t.co/w8CpI57syz","['morgan', 'chase', 'telling', 'cancel', 'student', 'debtif', 'biden', 'come', 'wishy', 'washy', 'partial']"
